player_id,current_team_id,포지션,주발,키(cm),몸무게(kg),경기 출전,출전 시간(분),볼 소유권 상실,실점,파울,득점,선방,페널티 상황,페널티 선방
32894,0,,,,,35,1938,24,25,20,10,0,0,0
117447,0,,,,,0,0,0,0,0,0,0,0,0
21887,0,,,,,0,0,0,0,0,0,0,0,0
133169,0,,,,,7,317,6,5,1,0,0,0,0
115447,0,,,,,0,0,0,0,0,0,0,0,0
68987,0,,,,,36,2195,48,36,12,6,0,0,0
23841,0,,,,,21,1594,9,19,20,0,0,0,0
51901,0,,,,,0,0,0,0,0,0,0,0,0
20187,0,,,,,0,0,0,0,0,0,0,0,0
25094,0,,,,,0,0,0,0,0,0,0,0,0
117587,0,,,,,0,0,0,0,0,0,0,0,0
118442,0,,,,,8,178,0,0,3,1,0,0,0
15259,0,,,,,34,2822,44,34,38,7,0,0,0
55700,0,,,,,0,0,0,0,0,0,0,0,0
8321,0,,,,,0,0,0,0,0,0,0,0,0
50234,0,,,,,28,2365,2,22,19,3,0,0,0
24221,0,,,,,2,97,0,1,2,0,0,0,0
10968,0,,,,,3,159,1,10,1,0,0,0,0
124083,0,,,,,2,21,0,0,1,0,0,0,0
70757,0,,,,,0,0,0,0,0,0,0,0,0
117859,0,,,,,1,1,0,0,0,0,0,0,0
143240,0,,,,,16,512,9,13,8,1,0,0,0
11130,0,,,,,29,987,18,25,15,2,0,0,0
67849,0,,,,,11,763,11,7,13,1,0,0,0
13702,0,,,,,0,0,0,0,0,0,0,0,0
70228,0,,,,,0,0,0,0,0,0,0,0,0
112653,0,,,,,0,0,0,0,0,0,0,0,0
117446,0,,,,,0,0,0,0,0,0,0,0,0
26974,0,,,,,0,0,0,0,0,0,0,0,0
114565,0,,,,,0,0,0,0,0,0,0,0,0
98288,0,,,,,0,0,0,0,0,0,0,0,0
49909,0,,,,,37,3168,26,35,47,0,0,0,0
7946,0,,,,,0,0,0,0,0,0,0,0,0
55968,0,,,,,0,0,0,0,0,0,0,0,0
4260,0,,,,,20,715,16,10,5,1,0,0,0
49254,0,,,,,25,2205,2,53,16,1,0,0,0
127627,0,,,,,0,0,0,0,0,0,0,0,0
65796,0,,,,,0,0,0,0,0,0,0,0,0
134176,0,,,,,21,681,21,15,7,1,0,0,0
22542,0,,,,,0,0,0,0,0,0,0,0,0
128389,0,,,,,4,143,4,3,0,0,0,0,0
14569,0,,,,,34,3059,18,42,24,3,0,0,0
12582,0,,,,,37,3067,38,39,55,0,0,0,0
130068,0,,,,,3,71,0,2,0,0,0,0,0
5101,0,,,,,33,2227,25,28,15,1,0,0,0
117552,0,,,,,0,0,0,0,0,0,0,0,0
32478,0,,,,,0,0,0,0,0,0,0,0,0
148162,0,,,,,3,11,0,2,0,0,0,0,0
68827,0,,,,,32,1858,17,26,20,0,0,0,0
67178,0,,,,,37,3279,16,41,16,5,0,0,0
107834,0,,,,,0,0,0,0,0,0,0,0,0
65970,0,,,,,31,2741,27,38,24,22,0,0,0
63841,0,,,,,0,0,0,0,0,0,0,0,0
108922,0,,,,,27,2192,20,31,9,0,0,0,0
134786,0,,,,,0,0,0,0,0,0,0,0,0
140291,0,,,,,0,0,0,0,0,0,0,0,0
7548,0,,,,,0,0,0,0,0,0,0,0,0
8264,0,,,,,2,43,0,2,0,0,0,0,0
130153,0,,,,,0,0,0,0,0,0,0,0,0
19877,0,,,,,7,378,2,9,5,0,0,0,0
10000,0,,,,,0,0,0,0,0,0,0,0,0
4713,0,,,,,0,0,0,0,0,0,0,0,0
25447,0,,,,,34,2828,5,65,35,1,0,0,0
20810,0,,,,,23,1874,23,20,38,9,0,0,0
147630,0,,,,,0,0,0,0,0,0,0,0,0
111965,0,,,,,0,0,0,0,0,0,0,0,0
2933,0,,,,,0,0,0,0,0,0,0,0,0
133114,0,,,,,4,171,1,1,4,0,0,0,0
65781,0,,,,,0,0,0,0,0,0,0,0,0
123143,0,,,,,0,0,0,0,0,0,0,0,0
51917,0,,,,,0,0,0,0,0,0,0,0,0
8586,0,,,,,0,0,0,0,0,0,0,0,0
2569,0,,,,,0,0,0,0,0,0,0,0,0
13988,0,,,,,38,3420,0,51,0,0,104,2,1/2
10947,0,,,,,5,94,2,3,2,0,0,0,0
118083,0,,,,,27,2385,0,58,0,0,103,4,1/4
98301,0,,,,,0,0,0,0,0,0,0,0,0
128733,0,,,,,0,0,0,0,0,0,0,0,0
115166,0,,,,,0,0,0,0,0,0,0,0,0
119531,0,,,,,0,0,0,0,0,0,0,0,0
51942,0,,,,,10,448,0,9,7,0,0,0,0
112096,0,,,,,0,0,0,0,0,0,0,0,0
112739,0,,,,,26,1846,3,30,18,5,0,0,0
14283,0,,,,,26,649,16,16,13,3,0,0,0
16169,0,,,,,0,0,0,0,0,0,0,0,0
52951,0,,,,,0,0,0,0,0,0,0,0,0
49269,0,,,,,0,0,0,0,0,0,0,0,0
11575,0,,,,,0,0,0,0,0,0,0,0,0
10564,0,,,,,1,5,0,1,0,0,0,0,0
128892,0,,,,,0,0,0,0,0,0,0,0,0
143765,0,,,,,0,0,0,0,0,0,0,0,0
15948,0,,,,,0,0,0,0,0,0,0,0,0
129952,0,,,,,1,6,0,0,0,0,0,0,0
75096,0,,,,,0,0,0,0,0,0,0,0,0
137822,0,,,,,0,0,0,0,0,0,0,0,0
23702,0,,,,,31,2201,23,23,12,5,0,0,0
8589,0,,,,,33,2118,30,31,65,0,0,0,0
107835,0,,,,,0,0,0,0,0,0,0,0,0
51498,0,,,,,0,0,0,0,0,0,0,0,0
123585,0,,,,,32,2422,1,31,31,3,0,0,0
67214,0,,,,,0,0,0,0,0,0,0,0,0
98300,0,,,,,31,2590,58,61,30,3,0,0,0
71618,0,,,,,0,0,0,0,0,0,0,0,0
20337,0,,,,,21,650,10,19,6,2,0,0,0
5272,0,,,,,0,0,0,0,0,0,0,0,0
122934,0,,,,,32,2013,33,31,17,4,0,0,0
21912,0,,,,,13,960,0,17,9,0,0,0,0
13554,0,,,,,0,0,0,0,0,0,0,0,0
124052,0,,,,,8,168,2,4,3,0,0,0,0
64521,0,,,,,0,0,0,0,0,0,0,0,0
112590,0,,,,,0,0,0,0,0,0,0,0,0
8245,0,,,,,15,270,6,4,0,1,0,0,0
136505,0,,,,,10,162,3,4,6,0,0,0,0
66538,0,,,,,18,564,18,16,15,0,0,0,0
21737,0,,,,,34,2769,55,41,27,23,0,0,0
15332,0,,,,,0,0,0,0,0,0,0,0,0
94669,0,,,,,0,0,0,0,0,0,0,0,0
4717,0,,,,,38,2994,40,45,19,9,0,0,0
9662,0,,,,,35,2379,37,31,11,8,0,0,0
32715,0,,,,,32,1170,22,31,15,0,0,0,0
120676,0,,,,,0,0,0,0,0,0,0,0,0
14571,0,,,,,19,1064,9,14,8,1,0,0,0
23194,0,,,,,32,2266,10,38,24,1,0,0,0
7887,0,,,,,0,0,0,0,0,0,0,0,0
24807,0,,,,,1,11,0,0,0,0,1,0,0
111987,0,,,,,16,105,5,2,2,1,0,0,0
127824,0,,,,,0,0,0,0,0,0,0,0,0
49726,0,,,,,24,852,7,17,7,0,0,0,0
11071,0,,,,,38,2505,45,37,39,12,0,0,0
5051,0,,,,,0,0,0,0,0,0,0,0,0
50856,0,,,,,12,364,4,4,6,1,0,0,0
133679,0,,,,,36,2987,51,58,70,3,0,0,0
19858,0,,,,,0,0,0,0,0,0,0,0,0
72371,0,,,,,27,1953,38,27,26,10,0,0,0
14428,0,,,,,0,0,0,0,0,0,0,0,0
51620,0,,,,,0,0,0,0,0,0,0,0,0
124181,0,,,,,0,0,0,0,0,0,0,0,0
20607,0,,,,,29,2404,53,32,58,4,0,0,0
15212,0,,,,,23,1348,17,36,27,1,0,0,0
4331,0,,,,,7,630,0,17,0,0,23,2,0
23815,0,,,,,33,1710,36,27,18,3,0,0,0
4135,0,,,,,0,0,0,0,0,0,0,0,0
20277,0,,,,,0,0,0,0,0,0,0,0,0
5682,0,,,,,15,702,9,7,15,0,0,0,0
15715,0,,,,,29,2609,0,48,4,0,71,7,2/7
147885,0,,,,,0,0,0,0,0,0,0,0,0
114485,0,,,,,0,0,0,0,0,0,0,0,0
133025,0,,,,,31,840,12,16,24,3,0,0,0
150263,0,,,,,0,0,0,0,0,0,0,0,0
109722,0,,,,,0,0,0,0,0,0,0,0,0
67776,0,,,,,30,2422,24,21,31,1,0,0,0
13515,0,,,,,36,2920,15,68,29,2,0,0,0
75989,0,,,,,6,540,0,9,1,0,20,1,0
127728,0,,,,,0,0,0,0,0,0,0,0,0
110234,0,,,,,0,0,0,0,0,0,0,0,0
108319,0,,,,,0,0,0,0,0,0,0,0,0
127722,0,,,,,0,0,0,0,0,0,0,0,0
49759,0,,,,,34,1553,20,26,28,0,0,0,0
25067,0,,,,,26,1725,17,22,30,1,0,0,0
132716,0,,,,,0,0,0,0,0,0,0,0,0
140223,0,,,,,0,0,0,0,0,0,0,0,0
109721,0,,,,,0,0,0,0,0,0,0,0,0
19600,0,,,,,0,0,0,0,0,0,0,0,0
112652,0,,,,,0,0,0,0,0,0,0,0,0
123557,0,,,,,0,0,0,0,0,0,0,0,0
92709,0,,,,,0,0,0,0,0,0,0,0,0
136974,0,,,,,2,12,0,1,0,0,0,0,0
133460,0,,,,,12,528,3,5,8,0,0,0,0
4333,0,,,,,14,1046,2,20,9,3,0,0,0
11189,0,,,,,0,0,0,0,0,0,0,0,0
50727,0,,,,,6,388,2,8,5,1,0,0,0
14723,0,,,,,10,900,0,12,0,0,27,1,1/1
21585,0,,,,,10,301,2,6,5,0,0,0,0
116665,0,,,,,38,3342,22,45,30,2,0,0,0
117753,0,,,,,0,0,0,0,0,0,0,0,0
11373,0,,,,,31,2790,0,39,2,0,97,4,0
53074,0,,,,,0,0,0,0,0,0,0,0,0
107818,0,,,,,0,0,0,0,0,0,0,0,0
137371,0,,,,,6,504,1,6,3,0,0,0,0
50468,0,,,,,0,0,0,0,0,0,0,0,0
126962,0,,,,,3,28,1,0,1,0,0,0,0
13522,0,,,,,38,3349,4,62,23,0,0,0,0
128022,0,,,,,0,0,0,0,0,0,0,0,0
128976,0,,,,,8,127,6,0,3,0,0,0,0
123998,0,,,,,6,540,0,11,0,0,24,0,0
109478,0,,,,,17,1117,2,15,10,1,0,0,0
21519,0,,,,,34,2356,27,29,47,12,0,0,0
122944,0,,,,,0,0,0,0,0,0,0,0,0
92627,0,,,,,0,0,0,0,0,0,0,0,0
8982,0,,,,,0,0,0,0,0,0,0,0,0
144265,0,,,,,10,36,3,2,3,0,0,0,0
114361,0,,,,,0,0,0,0,0,0,0,0,0
150847,0,,,,,0,0,0,0,0,0,0,0,0
23593,0,,,,,31,2565,2,28,27,1,0,0,0
127797,0,,,,,0,0,0,0,0,0,0,0,0
12359,0,,,,,0,0,0,0,0,0,0,0,0
13274,0,,,,,34,2937,10,45,9,2,0,0,0
51314,0,,,,,0,0,0,0,0,0,0,0,0
5861,0,,,,,0,0,0,0,0,0,0,0,0
129671,0,,,,,0,0,0,0,0,0,0,0,0
122119,0,,,,,0,0,0,0,0,0,0,0,0
35733,0,,,,,0,0,0,0,0,0,0,0,0
12520,0,,,,,31,2202,29,28,24,6,0,0,0
127828,0,,,,,2,11,2,1,0,0,0,0,0
66494,0,,,,,12,334,2,2,5,0,0,0,0
123722,0,,,,,30,2489,13,62,19,0,0,0,0
137832,0,,,,,0,0,0,0,0,0,0,0,0
51364,0,,,,,32,2601,93,46,39,5,0,0,0
140380,0,,,,,0,0,0,0,0,0,0,0,0
49316,0,,,,,32,2391,74,41,48,7,0,0,0
125185,0,,,,,0,0,0,0,0,0,0,0,0
76104,0,,,,,35,3118,6,45,34,1,0,0,0
114362,0,,,,,0,0,0,0,0,0,0,0,0
8935,0,,,,,0,0,0,0,0,0,0,0,0
49482,0,,,,,0,0,0,0,0,0,0,0,0
4618,0,,,,,14,356,6,8,8,0,0,0,0
23704,0,,,,,15,860,5,21,15,2,0,0,0
119462,0,,,,,3,10,0,0,2,0,0,0,0
11044,0,,,,,0,0,0,0,0,0,0,0,0
107842,0,,,,,0,0,0,0,0,0,0,0,0
9257,0,,,,,0,0,0,0,0,0,0,0,0
123421,0,,,,,0,0,0,0,0,0,0,0,0
99282,0,,,,,16,801,7,11,16,0,0,0,0
66222,0,,,,,0,0,0,0,0,0,0,0,0
5583,0,,,,,17,1363,11,39,17,1,0,0,0
21647,0,,,,,0,0,0,0,0,0,0,0,0
4985,0,,,,,38,3420,0,54,0,0,110,4,1/4
51777,0,,,,,0,0,0,0,0,0,0,0,0
37776,0,,,,,33,2277,18,36,35,0,0,0,0
99281,0,,,,,28,1891,19,27,12,1,0,0,0
24369,0,,,,,38,3101,20,49,18,1,0,0,0
114564,0,,,,,23,1370,9,16,11,1,0,0,0
5066,0,,,,,16,697,1,9,8,0,0,0,0
15862,0,,,,,0,0,0,0,0,0,0,0,0
118112,0,,,,,25,1240,24,14,15,0,0,0,0
49495,0,,,,,37,2842,39,40,6,0,0,0,0
4664,0,,,,,0,0,0,0,0,0,0,0,0
8006,0,,,,,0,0,0,0,0,0,0,0,0
19851,0,,,,,0,0,0,0,0,0,0,0,0
14897,0,,,,,25,786,7,11,9,0,0,0,0
55776,0,,,,,33,2384,51,50,53,4,0,0,0
4290,0,,,,,0,0,0,0,0,0,0,0,0
146354,0,,,,,12,139,3,5,0,0,0,0,0
9462,0,,,,,3,270,0,7,0,0,13,0,0
16044,0,,,,,30,2356,8,37,66,0,0,0,0
49961,0,,,,,0,0,0,0,0,0,0,0,0
4432,0,,,,,11,197,3,6,1,0,0,0,0
72455,0,,,,,0,0,0,0,0,0,0,0,0
51223,0,,,,,29,1128,25,16,11,1,0,0,0
63633,0,,,,,35,2607,22,24,62,5,0,0,0
43859,0,,,,,0,0,0,0,0,0,0,0,0
67407,0,,,,,32,2046,25,28,22,7,0,0,0
8456,0,,,,,31,1816,25,32,32,9,0,0,0
9566,0,,,,,27,1757,2,27,18,1,0,0,0
23946,0,,,,,8,112,0,1,2,0,0,0,0
12128,0,,,,,0,0,0,0,0,0,0,0,0
108936,0,,,,,25,1656,36,27,27,0,0,0,0
23581,0,,,,,3,99,2,1,3,0,0,0,0
14456,0,,,,,14,298,7,6,1,3,0,0,0
116496,0,,,,,0,0,0,0,0,0,0,0,0
145492,0,,,,,1,1,0,0,0,0,0,0,0
49738,0,,,,,19,1255,12,10,24,1,0,0,0
14252,0,,,,,24,1468,5,35,19,0,0,0,0
4918,0,,,,,0,0,0,0,0,0,0,0,0
130150,0,,,,,0,0,0,0,0,0,0,0,0
127416,0,,,,,0,0,0,0,0,0,0,0,0
32925,0,,,,,0,0,0,0,0,0,0,0,0
32388,0,,,,,0,0,0,0,0,0,0,0,0
125826,0,,,,,0,0,0,0,0,0,0,0,0
8171,0,,,,,8,162,1,3,2,0,0,0,0
51692,0,,,,,0,0,0,0,0,0,0,0,0
122149,0,,,,,0,0,0,0,0,0,0,0,0
124846,0,,,,,0,0,0,0,0,0,0,0,0
11272,0,,,,,0,0,0,0,0,0,0,0,0
4245,0,,,,,37,3195,0,45,2,0,100,2,1/2
51556,0,,,,,0,0,0,0,0,0,0,0,0
20874,0,,,,,37,2654,45,37,27,14,0,0,0
119072,0,,,,,36,2919,36,66,46,2,0,0,0
112655,0,,,,,0,0,0,0,0,0,0,0,0
51202,0,,,,,33,2600,55,54,42,15,0,0,0
133681,0,,,,,4,52,0,0,0,1,0,0,0
69020,0,,,,,0,0,0,0,0,0,0,0,0
76204,0,,,,,26,1673,13,19,30,1,0,0,0
5375,0,,,,,0,0,0,0,0,0,0,0,0
10827,0,,,,,0,0,0,0,0,0,0,0,0
109777,0,,,,,0,0,0,0,0,0,0,0,0
16256,0,,,,,0,0,0,0,0,0,0,0,0
75097,0,,,,,0,0,0,0,0,0,0,0,0
32638,0,,,,,33,2037,0,38,17,0,0,0,0
14458,0,,,,,30,1613,35,38,18,4,0,0,0
131312,0,,,,,0,0,0,0,0,0,0,0,0
144040,0,,,,,0,0,0,0,0,0,0,0,0
4706,0,,,,,0,0,0,0,0,0,0,0,0
33245,0,,,,,37,2848,17,43,38,0,0,0,0
50849,0,,,,,0,0,0,0,0,0,0,0,0
64460,0,,,,,0,0,0,0,0,0,0,0,0
66360,0,,,,,38,3415,47,55,25,20,0,0,0
49270,0,,,,,15,342,1,6,6,3,0,0,0
51553,0,,,,,18,852,16,16,18,1,0,0,0
109138,0,,,,,0,0,0,0,0,0,0,0,0
4573,0,,,,,5,450,0,13,0,0,24,2,0
117150,0,,,,,0,0,0,0,0,0,0,0,0
112080,0,,,,,0,0,0,0,0,0,0,0,0
20961,0,,,,,0,0,0,0,0,0,0,0,0
144899,0,,,,,0,0,0,0,0,0,0,0,0
51423,0,,,,,34,2230,29,34,43,1,0,0,0
134463,0,,,,,0,0,0,0,0,0,0,0,0
24797,0,,,,,21,1371,33,24,6,4,0,0,0
63842,0,,,,,0,0,0,0,0,0,0,0,0
14824,0,,,,,2,17,1,1,0,0,0,0,0
3909,0,,,,,7,181,0,4,5,0,0,0,0
122142,0,,,,,1,4,0,0,0,0,0,0,0
68593,0,,,,,0,0,0,0,0,0,0,0,0
14063,0,,,,,0,0,0,0,0,0,0,0,0
27090,0,,,,,0,0,0,0,0,0,0,0,0
68592,0,,,,,0,0,0,0,0,0,0,0,0
19778,0,,,,,28,1581,27,17,41,7,0,0,0
109707,0,,,,,0,0,0,0,0,0,0,0,0
145114,0,,,,,0,0,0,0,0,0,0,0,0
112261,0,,,,,0,0,0,0,0,0,0,0,0
128136,0,,,,,0,0,0,0,0,0,0,0,0
122945,0,,,,,1,1,0,0,0,0,0,0,0
51736,0,,,,,0,0,0,0,0,0,0,0,0
2100,0,,,,,4,173,0,1,3,0,0,0,0
117647,0,,,,,14,304,1,4,3,1,0,0,0
16035,0,,,,,37,3330,2,45,20,5,0,0,0
8900,0,,,,,14,1121,1,11,4,0,0,0,0
136175,0,,,,,32,1841,28,33,21,6,0,0,0
24334,0,,,,,37,3102,30,46,23,0,0,0,0
117732,0,,,,,36,2608,23,40,40,10,0,0,0
5879,0,,,,,0,0,0,0,0,0,0,0,0
5239,0,,,,,0,0,0,0,0,0,0,0,0
108751,0,,,,,4,9,0,0,0,0,0,0,0
49480,0,,,,,0,0,0,0,0,0,0,0,0
5178,0,,,,,38,3377,67,40,25,29,0,0,0
145759,0,,,,,7,105,2,3,0,0,0,0,0
40153,0,,,,,0,0,0,0,0,0,0,0,0
127754,0,,,,,0,0,0,0,0,0,0,0,0
112745,0,,,,,0,0,0,0,0,0,0,0,0
120175,0,,,,,0,0,0,0,0,0,0,0,0
92706,0,,,,,0,0,0,0,0,0,0,0,0
118952,0,,,,,0,0,0,0,0,0,0,0,0
67510,0,,,,,26,893,3,14,11,0,0,0,0
132068,0,,,,,0,0,0,0,0,0,0,0,0
129831,0,,,,,0,0,0,0,0,0,0,0,0
37221,0,,,,,15,959,6,16,12,0,0,0,0
51574,0,,,,,0,0,0,0,0,0,0,0,0
115114,0,,,,,5,442,1,12,6,0,0,0,0
23824,0,,,,,0,0,0,0,0,0,0,0,0
109134,0,,,,,0,0,0,0,0,0,0,0,0
14580,0,,,,,17,621,9,11,16,1,0,0,0
70143,0,,,,,1,27,1,0,0,0,0,0,0
53991,0,,,,,7,145,7,2,2,0,0,0,0
76310,0,,,,,14,1079,12,11,19,2,0,0,0
128139,0,,,,,0,0,0,0,0,0,0,0,0
76353,0,,,,,37,3233,20,46,56,4,0,0,0
111116,0,,,,,0,0,0,0,0,0,0,0,0
134586,0,,,,,0,0,0,0,0,0,0,0,0
19911,0,,,,,18,1620,1,33,0,0,69,3,0
139648,0,,,,,36,3191,10,44,27,2,0,0,0
